NAV_Date,NAV_Value
26/03/2018,65.3211
27/03/2018,65.6586
28/03/2018,65.2101
02/04/2018,65.8108
03/04/2018,66.0125
04/04/2018,65.2729
05/04/2018,66.5154
06/04/2018,66.5561
09/04/2018,66.8616
10/04/2018,67.0082
11/04/2018,67.1032
12/04/2018,67.3702
13/04/2018,67.5107
16/04/2018,67.8142
17/04/2018,67.946
18/04/2018,67.8005
19/04/2018,68.0524
20/04/2018,68.044
23/04/2018,68.176
24/04/2018,68.3664
25/04/2018,68.0846
26/04/2018,68.388
27/04/2018,68.866
30/04/2018,69.1669
02/05/2018,69.0351
03/05/2018,68.7889
04/05/2018,68.3959
07/05/2018,69.0184
08/05/2018,69.0331
09/05/2018,69.1878
10/05/2018,69.0262
11/05/2018,69.6019
14/05/2018,69.6017
15/05/2018,69.5711
16/05/2018,69.181
17/05/2018,68.806
18/05/2018,68.2524
21/05/2018,67.7409
22/05/2018,67.8687
23/05/2018,67.186
24/05/2018,67.7205
25/05/2018,68.3712
28/05/2018,68.9028
29/05/2018,68.5468
30/05/2018,68.4246
31/05/2018,69.2731
01/06/2018,69.0162
04/06/2018,68.5889
05/06/2018,68.3615
06/06/2018,68.9468
07/06/2018,69.4833
08/06/2018,69.4786
11/06/2018,69.6012
12/06/2018,69.9594
13/06/2018,70.047
14/06/2018,69.8329
15/06/2018,69.8948
18/06/2018,69.7794
19/06/2018,69.2062
20/06/2018,69.6008
21/06/2018,69.4154
22/06/2018,69.9347
25/06/2018,69.5519
26/06/2018,69.5944
27/06/2018,68.9998
28/06/2018,68.471
29/06/2018,69.276
02/07/2018,68.9082
03/07/2018,69.1822
04/07/2018,69.6314
05/07/2018,69.5288
06/07/2018,69.6746
09/07/2018,70.1886
10/07/2018,70.7975
11/07/2018,70.813
12/07/2018,71.3073
13/07/2018,71.2772
16/07/2018,70.7513
17/07/2018,71.2166
18/07/2018,71.0442
19/07/2018,70.9567
20/07/2018,71.2984
23/07/2018,71.7796
24/07/2018,72.0976
25/07/2018,72.0806
26/07/2018,72.3232
27/07/2018,73.036
30/07/2018,73.3026
31/07/2018,73.5406
01/08/2018,73.4739
02/08/2018,72.8289
03/08/2018,73.5758
06/08/2018,73.7444
07/08/2018,73.7591
08/08/2018,74.1489
09/08/2018,74.2872
10/08/2018,74.0209
13/08/2018,73.5524
14/08/2018,74.1134
16/08/2018,73.7898
17/08/2018,74.3425
20/08/2018,74.8692
21/08/2018,74.9901
23/08/2018,75.0647
24/08/2018,74.9133
27/08/2018,75.7822
28/08/2018,76.0824
29/08/2018,75.7798
30/08/2018,75.684
31/08/2018,75.7205
03/09/2018,75.0844
04/09/2018,74.6835
05/09/2018,74.4023
06/09/2018,74.8015
07/09/2018,75.1378
10/09/2018,74.171
11/09/2018,73.1978
12/09/2018,73.7321
14/09/2018,74.67
17/09/2018,73.7837
18/09/2018,73.1443
19/09/2018,72.8608
21/09/2018,72.2702
24/09/2018,71.1302
25/09/2018,71.7767
26/09/2018,71.6878
27/09/2018,71.1953
28/09/2018,70.8918
01/10/2018,71.3978
03/10/2018,70.4289
04/10/2018,68.7517
05/10/2018,66.925
08/10/2018,67.1277
09/10/2018,66.8236
10/10/2018,67.8496
11/10/2018,66.3929
12/10/2018,67.9216
15/10/2018,68.1788
16/10/2018,68.6446
17/10/2018,67.7931
19/10/2018,66.8252
22/10/2018,66.4449
23/10/2018,65.8144
24/10/2018,66.3168
25/10/2018,65.7304
26/10/2018,65.1167
29/10/2018,66.5515
30/10/2018,66.2132
31/10/2018,67.4308
01/11/2018,67.3998
02/11/2018,68.5165
05/11/2018,68.3332
06/11/2018,68.3714
09/11/2018,68.727
12/11/2018,68.0605
13/11/2018,68.7099
14/11/2018,68.6696
15/11/2018,68.9308
16/11/2018,69.3544
19/11/2018,69.8787
20/11/2018,69.1838
21/11/2018,68.82
22/11/2018,68.345
26/11/2018,69.004
27/11/2018,69.3728
28/11/2018,69.6529
29/11/2018,70.4939
30/11/2018,70.6104
03/12/2018,70.6548
04/12/2018,70.562
05/12/2018,69.9996
06/12/2018,68.8208
07/12/2018,69.4192
10/12/2018,68.0885
11/12/2018,68.4799
12/12/2018,69.6955
13/12/2018,70.0439
14/12/2018,70.1333
17/12/2018,70.669
18/12/2018,70.8004
19/12/2018,71.1799
20/12/2018,71.0779
21/12/2018,69.8188
24/12/2018,69.2312
26/12/2018,69.6603
27/12/2018,69.9828
28/12/2018,70.5209
31/12/2018,70.5364
01/01/2019,70.8446
02/01/2019,70.0821
03/01/2019,69.3025
04/01/2019,69.6591
07/01/2019,69.9502
08/01/2019,70.1422
09/01/2019,70.4843
10/01/2019,70.2664
11/01/2019,70.0932
14/01/2019,69.7207
15/01/2019,70.6867
16/01/2019,70.7089
