Sr.NO,NAV_Date,DAY_DELTA,NAV_Value,,,,,,,,,,,
1,2015-03-02,1,56.0614,,,,,,,,,,,
2,2015-03-03,2,56.3536,,,,,,,,,,,
3,2015-03-04,3,55.8955,,,,,,,,,,,
4,2015-03-05,4,55.99,,,,,,,,,,,
5,2015-03-09,8,54.8667,,,,,,,,,,,
6,2015-03-10,9,54.5875,,,,,,,,,,,
7,2015-03-11,10,54.5127,,,,,,,,,,,
8,2015-03-12,11,54.9831,,,,,,,,,,,
9,2015-03-13,12,54.191,,,,,,,,,,,
10,2015-03-16,15,54.0994,,,,,,,,,,,
11,2015-03-17,16,54.6564,,,,,,,,,,,
12,2015-03-18,17,54.4227,,,,,,,,,,,
13,2015-03-19,18,54.1045,,,,,,,,,,,
14,2015-03-20,19,53.7542,,,,,,,,,,,
15,2015-03-23,22,53.6288,,,,,,,,,,,
16,2015-03-24,23,53.5912,,,,,,,,,,,
17,2015-03-25,24,53.5212,,,,,,,,,,,
18,2015-03-26,25,52.3425,,,,,,,,,,,
19,2015-03-27,26,52.3421,,,,,,,,,,,
20,2015-03-30,29,53.2839,,,,,,,,,,,
21,2015-03-31,30,53.2723,,,,,,,,,,,
22,2015-04-01,31,53.872,,,,,,,,,,,
23,2015-04-06,36,54.3221,,,,,,,,,,,
24,2015-04-07,37,54.3213,,,,,,,,,,,
25,2015-04-08,38,54.6572,,,,,,,,,,,
26,2015-04-09,39,55.0502,,,,,,,,,,,
27,2015-04-10,40,55.0629,,,,,,,,,,,
28,2015-04-13,43,55.3964,,,,,,,,,,,
29,2015-04-15,45,54.8689,,,,,,,,,,,
30,2015-04-16,46,54.5931,,,,,,,,,,,
31,2015-04-17,47,53.9622,,,,,,,,,,,
32,2015-04-20,50,52.9734,,,,,,,,,,,
33,2015-04-21,51,52.5316,,,,,,,,,,,
34,2015-04-22,52,52.8549,,,,,,,,,,,
35,2015-04-23,53,52.6565,,,,,,,,,,,
36,2015-04-24,54,52.0761,,,,,,,,,,,
37,2015-04-27,57,51.5089,,,,,,,,,,,
38,2015-04-28,58,51.9592,,,,,,,,,,,
39,2015-04-29,59,51.6684,,,,,,,,,,,
40,2015-04-30,60,51.3014,,,,,,,,,,,
41,2015-05-04,64,52.2354,,,,,,,,,,,
42,2015-05-05,65,52.1752,,,,,,,,,,,
43,2015-05-06,66,50.7667,,,,,,,,,,,
44,2015-05-07,67,50.5223,,,,,,,,,,,
45,2015-05-08,68,51.3862,,,,,,,,,,,
46,2015-05-11,71,52.1779,,,,,,,,,,,
47,2015-05-12,72,50.9546,,,,,,,,,,,
48,2015-05-13,73,51.6344,,,,,,,,,,,
49,2015-05-14,74,51.5684,,,,,,,,,,,
50,2015-05-15,75,51.8027,,,,,,,,,,,
51,2015-05-18,78,52.4962,,,,,,,,,,,
52,2015-05-19,79,52.4397,,,,,,,,,,,
53,2015-05-20,80,52.7967,,,,,,,,,,,
54,2015-05-21,81,52.7744,,,,,,,,,,,
55,2015-05-22,82,53.0026,,,,,,,,,,,
56,2015-05-25,85,52.4388,,,,,,,,,,,
57,2015-05-26,86,52.2433,,,,,,,,,,,
58,2015-05-27,87,52.2052,,,,,,,,,,,
59,2015-05-28,88,52.1262,,,,,,,,,,,
60,2015-05-29,89,52.8327,,,,,,,,,,,
61,2015-06-01,92,52.8331,,,,,,,,,,,
62,2015-06-02,93,51.6095,,,,,,,,,,,
63,2015-06-03,94,51.0424,,,,,,,,,,,
64,2015-06-04,95,51.0645,,,,,,,,,,,
65,2015-06-05,96,50.9865,,,,,,,,,,,
66,2015-06-08,99,50.5487,,,,,,,,,,,
67,2015-06-09,100,50.4127,,,,,,,,,,,
68,2015-06-10,101,51.0413,,,,,,,,,,,
69,2015-06-11,102,50.0597,,,,,,,,,,,
70,2015-06-12,103,50.166,,,,,,,,,,,
71,2015-06-15,106,50.4073,,,,,,,,,,,
72,2015-06-16,107,50.6171,,,,,,,,,,,
73,2015-06-17,108,50.888,,,,,,,,,,,
74,2015-06-18,109,51.4039,,,,,,,,,,,
75,2015-06-19,110,51.727,,,,,,,,,,,
76,2015-06-22,113,52.5261,,,,,,,,,,,
77,2015-06-23,114,52.7011,,,,,,,,,,,
78,2015-06-24,115,52.5739,,,,,,,,,,,
79,2015-06-25,116,52.8047,,,,,,,,,,,
80,2015-06-26,117,52.6982,,,,,,,,,,,
81,2015-06-29,120,52.3057,,,,,,,,,,,
82,2015-06-30,121,52.6166,,,,,,,,,,,
83,2015-07-01,122,53.1435,,,,,,,,,,,
84,2015-07-02,123,53.1196,,,,,,,,,,,
85,2015-07-03,124,53.3694,,,,,,,,,,,
86,2015-07-06,127,53.6063,,,,,,,,,,,
87,2015-07-07,128,53.5327,,,,,,,,,,,
88,2015-07-08,129,52.6066,,,,,,,,,,,
89,2015-07-09,130,52.4177,,,,,,,,,,,
90,2015-07-10,131,52.6206,,,,,,,,,,,
91,2015-07-13,134,53.2379,,,,,,,,,,,
92,2015-07-14,135,53.206,,,,,,,,,,,
93,2015-07-15,136,53.6771,,,,,,,,,,,
94,2015-07-16,137,54.2089,,,,,,,,,,,
95,2015-07-17,138,54.2195,,,,,,,,,,,
96,2015-07-20,141,54.1946,,,,,,,,,,,
97,2015-07-21,142,53.7291,,,,,,,,,,,
98,2015-07-22,143,54.364,,,,,,,,,,,
99,2015-07-23,144,54.1018,,,,,,,,,,,
100,2015-07-24,145,53.6747,,,,,,,,,,,
101,2015-07-27,148,52.6687,,,,,,,,,,,
102,2015-07-28,149,52.5169,,,,,,,,,,,
103,2015-07-29,150,52.7546,,,,,,,,,,,
104,2015-07-30,151,53.0449,,,,,,,,,,,
105,2015-07-31,152,53.7414,,,,,,,,,,,
106,2015-08-03,155,53.8018,,,,,,,,,,,
107,2015-08-04,156,53.6371,,,,,,,,,,,
108,2015-08-05,157,53.9561,,,,,,,,,,,
109,2015-08-06,158,54.0856,,,,,,,,,,,
110,2015-08-07,159,53.9421,,,,,,,,,,,
111,2015-08-10,162,53.6974,,,,,,,,,,,
112,2015-08-11,163,53.3021,,,,,,,,,,,
113,2015-08-12,164,52.5968,,,,,,,,,,,
114,2015-08-13,165,52.6416,,,,,,,,,,,
115,2015-08-14,166,53.6582,,,,,,,,,,,
116,2015-08-17,169,53.3997,,,,,,,,,,,
117,2015-08-18,170,53.3322,,,,,,,,,,,
118,2015-08-19,171,53.5085,,,,,,,,,,,
119,2015-08-20,172,52.7427,,,,,,,,,,,
120,2015-08-21,173,52.2859,,,,,,,,,,,
121,2015-08-24,176,49.2127,,,,,,,,,,,
122,2015-08-25,177,49.6591,,,,,,,,,,,
123,2015-08-26,178,49.1139,,,,,,,,,,,
124,2015-08-27,179,50.0852,,,,,,,,,,,
125,2015-08-28,180,50.418,,,,,,,,,,,
126,2015-08-31,183,50.2289,,,,,,,,,,,
127,2015-09-01,184,49.1099,,,,,,,,,,,
128,2015-09-02,185,48.6844,,,,,,,,,,,
129,2015-09-03,186,49.3431,,,,,,,,,,,
130,2015-09-04,187,48.2997,,,,,,,,,,,
131,2015-09-07,190,47.7253,,,,,,,,,,,
132,2015-09-08,191,48.5272,,,,,,,,,,,
133,2015-09-09,192,49.3334,,,,,,,,,,,
134,2015-09-10,193,49.1454,,,,,,,,,,,
135,2015-09-11,194,49.1528,,,,,,,,,,,
136,2015-09-14,197,49.67,,,,,,,,,,,
137,2015-09-15,198,49.4005,,,,,,,,,,,
138,2015-09-16,199,49.8368,,,,,,,,,,,
139,2015-09-18,201,50.3559,,,,,,,,,,,
140,2015-09-21,204,50.3263,,,,,,,,,,,
141,2015-09-22,205,49.2904,,,,,,,,,,,
142,2015-09-23,206,49.5027,,,,,,,,,,,
143,2015-09-24,207,49.6402,,,,,,,,,,,
144,2015-09-28,211,49.1821,,,,,,,,,,,
145,2015-09-29,212,49.4798,,,,,,,,,,,
146,2015-09-30,213,50.1408,,,,,,,,,,,
147,2015-10-01,214,50.152,,,,,,,,,,,
148,2015-10-05,218,51.2088,,,,,,,,,,,
149,2015-10-06,219,51.4194,,,,,,,,,,,
150,2015-10-07,220,51.5728,,,,,,,,,,,
151,2015-10-08,221,51.27,,,,,,,,,,,
152,2015-10-09,222,51.649,,,,,,,,,,,
153,2015-10-12,225,51.3576,,,,,,,,,,,
154,2015-10-13,226,51.2823,,,,,,,,,,,
155,2015-10-14,227,51.1324,,,,,,,,,,,
156,2015-10-15,228,51.5812,,,,,,,,,,,
157,2015-10-16,229,51.9842,,,,,,,,,,,
158,2015-10-19,232,52.2224,,,,,,,,,,,
159,2015-10-20,233,52.1378,,,,,,,,,,,
160,2015-10-21,234,52.0803,,,,,,,,,,,
161,2015-10-23,236,52.3643,,,,,,,,,,,
162,2015-10-26,239,52.1432,,,,,,,,,,,
163,2015-10-27,240,51.9685,,,,,,,,,,,
164,2015-10-28,241,51.5809,,,,,,,,,,,
165,2015-10-29,242,51.2067,,,,,,,,,,,
166,2015-10-30,243,50.9238,,,,,,,,,,,
167,2015-11-02,246,50.828,,,,,,,,,,,
168,2015-11-03,247,50.8897,,,,,,,,,,,
169,2015-11-04,248,50.7602,,,,,,,,,,,
170,2015-11-05,249,50.2257,,,,,,,,,,,
171,2015-11-06,250,50.2182,,,,,,,,,,,
172,2015-11-09,253,49.9775,,,,,,,,,,,
173,2015-11-10,254,49.1638,,,,,,,,,,,
174,2015-11-13,257,49.0304,,,,,,,,,,,
175,2015-11-16,260,49.3089,,,,,,,,,,,
176,2015-11-17,261,49.5029,,,,,,,,,,,
177,2015-11-18,262,48.8349,,,,,,,,,,,
178,2015-11-19,263,49.5346,,,,,,,,,,,
179,2015-11-20,264,49.6207,,,,,,,,,,,
180,2015-11-23,267,49.5732,,,,,,,,,,,
181,2015-11-24,268,49.4612,,,,,,,,,,,
182,2015-11-26,270,49.7882,,,,,,,,,,,
183,2015-11-27,271,50.1592,,,,,,,,,,,
184,2015-11-30,274,50.1107,,,,,,,,,,,
185,2015-12-01,275,50.2338,,,,,,,,,,,
186,2015-12-02,276,50.0854,,,,,,,,,,,
187,2015-12-03,277,49.6626,,,,,,,,,,,
188,2015-12-04,278,49.1448,,,,,,,,,,,
189,2015-12-07,281,49.0404,,,,,,,,,,,
190,2015-12-08,282,48.6389,,,,,,,,,,,
191,2015-12-09,283,48.076,,,,,,,,,,,
192,2015-12-10,284,48.5208,,,,,,,,,,,
193,2015-12-11,285,48.0634,,,,,,,,,,,
194,2015-12-14,288,48.3113,,,,,,,,,,,
195,2015-12-15,289,48.6303,,,,,,,,,,,
196,2015-12-16,290,48.9436,,,,,,,,,,,
197,2015-12-17,291,49.5285,,,,,,,,,,,
198,2015-12-18,292,49.0126,,,,,,,,,,,
199,2015-12-21,295,49.4658,,,,,,,,,,,
200,2015-12-22,296,49.1634,,,,,,,,,,,
201,2015-12-23,297,49.6624,,,,,,,,,,,
202,2015-12-24,298,49.6315,,,,,,,,,,,
203,2015-12-28,302,50.0315,,,,,,,,,,,
204,2015-12-29,303,50.0552,,,,,,,,,,,
205,2015-12-30,304,49.8494,,,,,,,,,,,
206,2015-12-31,305,50.1643,,,,,,,,,,,
207,2016-01-01,306,50.27,,,,,,,,,,,
208,2016-01-04,309,49.1892,,,,,,,,,,,
209,2016-01-05,310,49.1471,,,,,,,,,,,
210,2016-01-06,311,48.8721,,,,,,,,,,,
211,2016-01-07,312,47.785,,,,,,,,,,,
212,2016-01-08,313,47.9919,,,,,,,,,,,
213,2016-01-11,316,47.7567,,,,,,,,,,,
214,2016-01-12,317,47.4208,,,,,,,,,,,
215,2016-01-13,318,47.7475,,,,,,,,,,,
216,2016-01-14,319,47.5854,,,,,,,,,,,
217,2016-01-15,320,46.9591,,,,,,,,,,,
218,2016-01-18,323,46.4213,,,,,,,,,,,
219,2016-01-19,324,46.9466,,,,,,,,,,,
220,2016-01-20,325,46.1609,,,,,,,,,,,
221,2016-01-21,326,45.9631,,,,,,,,,,,
222,2016-01-22,327,46.8766,,,,,,,,,,,
223,2016-01-25,330,46.9672,,,,,,,,,,,
224,2016-01-27,332,46.9827,,,,,,,,,,,
225,2016-01-28,333,46.9003,,,,,,,,,,,
226,2016-01-29,334,47.7727,,,,,,,,,,,
227,2016-02-01,337,47.7242,,,,,,,,,,,
228,2016-02-02,338,47.1009,,,,,,,,,,,
229,2016-02-03,339,46.5161,,,,,,,,,,,
230,2016-02-04,340,46.7818,,,,,,,,,,,
231,2016-02-05,341,47.3218,,,,,,,,,,,
232,2016-02-08,344,46.6827,,,,,,,,,,,
233,2016-02-09,345,46.1243,,,,,,,,,,,
234,2016-02-10,346,45.6051,,,,,,,,,,,
235,2016-02-11,347,44.1019,,,,,,,,,,,
236,2016-02-12,348,44.1305,,,,,,,,,,,
237,2016-02-15,351,45.2708,,,,,,,,,,,
238,2016-02-16,352,44.5539,,,,,,,,,,,
239,2016-02-17,353,44.9323,,,,,,,,,,,
240,2016-02-18,354,45.4544,,,,,,,,,,,
241,2016-02-19,355,45.5735,,,,,,,,,,,
242,2016-02-22,358,45.7238,,,,,,,,,,,
243,2016-02-23,359,44.939,,,,,,,,,,,
244,2016-02-24,360,44.3627,,,,,,,,,,,
245,2016-02-25,361,44.0613,,,,,,,,,,,
246,2016-02-26,362,44.4306,,,,,,,,,,,
247,2016-02-29,365,44.1645,,,,,,,,,,,
248,2016-03-01,366,45.6291,,,,,,,,,,,
249,2016-03-02,367,46.5405,,,,,,,,,,,
250,2016-03-03,368,47.2041,,,,,,,,,,,
251,2016-03-04,369,47.2622,,,,,,,,,,,
252,2016-03-08,373,47.2599,,,,,,,,,,,
253,2016-03-09,374,47.5527,,,,,,,,,,,
254,2016-03-10,375,47.2655,,,,,,,,,,,
255,2016-03-11,376,47.4163,,,,,,,,,,,
256,2016-03-14,379,47.6543,,,,,,,,,,,
257,2016-03-15,380,47.1638,,,,,,,,,,,
258,2016-03-16,381,47.4179,,,,,,,,,,,
259,2016-03-17,382,47.5344,,,,,,,,,,,
260,2016-03-18,383,48.1121,,,,,,,,,,,
261,2016-03-21,386,48.7486,,,,,,,,,,,
262,2016-03-22,387,48.8164,,,,,,,,,,,
263,2016-03-23,388,48.8259,,,,,,,,,,,
264,2016-03-28,393,48.1874,,,,,,,,,,,
265,2016-03-29,394,48.0758,,,,,,,,,,,
266,2016-03-30,395,48.943,,,,,,,,,,,
267,2016-03-31,396,48.9369,,,,,,,,,,,
268,2016-04-01,397,48.7792,,,,,,,,,,,
269,2016-04-04,400,49.0647,,,,,,,,,,,
270,2016-04-05,401,48.0985,,,,,,,,,,,
271,2016-04-06,402,48.1664,,,,,,,,,,,
272,2016-04-07,403,47.74,,,,,,,,,,,
273,2016-04-08,404,47.7948,,,,,,,,,,,
274,2016-04-11,407,48.5236,,,,,,,,,,,
275,2016-04-12,408,48.7599,,,,,,,,,,,
276,2016-04-13,409,49.6548,,,,,,,,,,,
277,2016-04-18,414,50.0593,,,,,,,,,,,
278,2016-04-20,416,50.0591,,,,,,,,,,,
279,2016-04-21,417,50.0419,,,,,,,,,,,
280,2016-04-22,418,49.9611,,,,,,,,,,,
281,2016-04-25,421,49.6807,,,,,,,,,,,
282,2016-04-26,422,50.36,,,,,,,,,,,
283,2016-04-27,423,50.4686,,,,,,,,,,,
284,2016-04-28,424,49.6306,,,,,,,,,,,
285,2016-04-29,425,49.6467,,,,,,,,,,,
286,2016-05-02,428,49.3687,,,,,,,,,,,
287,2016-05-03,429,48.9969,,,,,,,,,,,
288,2016-05-04,430,48.7417,,,,,,,,,,,
289,2016-05-05,431,48.9293,,,,,,,,,,,
290,2016-05-06,432,48.9141,,,,,,,,,,,
291,2016-05-09,435,49.7489,,,,,,,,,,,
292,2016-05-10,436,49.8831,,,,,,,,,,,
293,2016-05-11,437,49.6374,,,,,,,,,,,
294,2016-05-12,438,49.9624,,,,,,,,,,,
295,2016-05-13,439,49.4227,,,,,,,,,,,
296,2016-05-16,442,49.7109,,,,,,,,,,,
297,2016-05-17,443,49.8997,,,,,,,,,,,
298,2016-05-18,444,49.7695,,,,,,,,,,,
299,2016-05-19,445,49.2246,,,,,,,,,,,
300,2016-05-20,446,49.0128,,,,,,,,,,,
301,2016-05-23,449,48.8949,,,,,,,,,,,
302,2016-05-24,450,49.007,,,,,,,,,,,
303,2016-05-25,451,50.1699,,,,,,,,,,,
304,2016-05-26,452,51.012,,,,,,,,,,,
305,2016-05-27,453,51.5563,,,,,,,,,,,
306,2016-05-30,456,51.7801,,,,,,,,,,,
307,2016-05-31,457,51.6638,,,,,,,,,,,
308,2016-06-01,458,51.7887,,,,,,,,,,,
309,2016-06-02,459,52.0326,,,,,,,,,,,
310,2016-06-03,460,52.0608,,,,,,,,,,,
311,2016-06-06,463,51.9661,,,,,,,,,,,
312,2016-06-07,464,52.3772,,,,,,,,,,,
313,2016-06-08,465,52.4183,,,,,,,,,,,
314,2016-06-09,466,52.0329,,,,,,,,,,,
315,2016-06-10,467,51.8196,,,,,,,,,,,
316,2016-06-13,470,51.4433,,,,,,,,,,,
317,2016-06-14,471,51.4321,,,,,,,,,,,
318,2016-06-15,472,52.0451,,,,,,,,,,,
319,2016-06-16,473,51.6845,,,,,,,,,,,
320,2016-06-17,474,51.8705,,,,,,,,,,,
321,2016-06-20,477,52.2993,,,,,,,,,,,
322,2016-06-21,478,52.1826,,,,,,,,,,,
323,2016-06-22,479,52.0928,,,,,,,,,,,
324,2016-06-23,480,52.5153,,,,,,,,,,,
325,2016-06-24,481,51.3641,,,,,,,,,,,
326,2016-06-27,484,51.403,,,,,,,,,,,
327,2016-06-28,485,51.6133,,,,,,,,,,,
328,2016-06-29,486,52.1206,,,,,,,,,,,
329,2016-06-30,487,52.6456,,,,,,,,,,,
330,2016-07-01,488,52.8972,,,,,,,,,,,
331,2016-07-04,491,53.1698,,,,,,,,,,,
332,2016-07-05,492,52.9484,,,,,,,,,,,
333,2016-07-07,494,52.9748,,,,,,,,,,,
334,2016-07-08,495,52.8821,,,,,,,,,,,
335,2016-07-11,498,53.7963,,,,,,,,,,,
336,2016-07-12,499,54.1319,,,,,,,,,,,
337,2016-07-13,500,54.1219,,,,,,,,,,,
338,2016-07-14,501,54.4117,,,,,,,,,,,
339,2016-07-15,502,54.3007,,,,,,,,,,,
340,2016-07-18,505,54.098,,,,,,,,,,,
341,2016-07-19,506,54.2224,,,,,,,,,,,
342,2016-07-20,507,54.4601,,,,,,,,,,,
343,2016-07-21,508,54.1196,,,,,,,,,,,
344,2016-07-22,509,54.3139,,,,,,,,,,,
345,2016-07-25,512,54.9181,,,,,,,,,,,
346,2016-07-26,513,54.6361,,,,,,,,,,,
347,2016-07-27,514,54.7936,,,,,,,,,,,
348,2016-07-28,515,55.134,,,,,,,,,,,
349,2016-07-29,516,54.9614,,,,,,,,,,,
350,2016-08-01,519,54.9448,,,,,,,,,,,
351,2016-08-02,520,54.8622,,,,,,,,,,,
