DATE,NAV
"Mar 22, 2021",157.33
"Mar 19, 2021",157.87
"Mar 18, 2021",156.12
"Mar 17, 2021",157.88
"Mar 16, 2021",159.79
"Mar 15, 2021",159.96
"Mar 12, 2021",160.63
"Mar 10, 2021",162.16
"Mar 09, 2021",161.47
"Mar 08, 2021",160.04
"Mar 05, 2021",159.66
"Mar 04, 2021",161.2
"Mar 03, 2021",162.98
"Mar 02, 2021",159.57
"Mar 01, 2021",158.01
"Feb 26, 2021",156.15
"Feb 25, 2021",161.87
"Feb 24, 2021",160.15
"Feb 23, 2021",157.59
"Feb 22, 2021",157.18
"Feb 19, 2021",160.42
"Feb 18, 2021",161.89
"Feb 17, 2021",162.59
"Feb 16, 2021",163.54
"Feb 15, 2021",163.93
"Feb 12, 2021",162.17
"Feb 11, 2021",162.06
"Feb 10, 2021",161.46
"Feb 09, 2021",161.23
"Feb 08, 2021",161.03
"Feb 05, 2021",159.05
"Feb 04, 2021",158.69
"Feb 03, 2021",157.66
"Feb 02, 2021",156.1
"Feb 01, 2021",152.52
"Jan 29, 2021",146.1
"Jan 28, 2021",147.99
"Jan 27, 2021",149.48
"Jan 25, 2021",152.46
"Jan 22, 2021",153.91
"Jan 21, 2021",156.02
"Jan 20, 2021",156.75
"Jan 19, 2021",155.45
"Jan 18, 2021",152.56
"Jan 15, 2021",154.11
"Jan 14, 2021",155.76
"Jan 13, 2021",155.6
"Jan 12, 2021",155.32
"Jan 11, 2021",154.38
"Jan 08, 2021",152.88
"Jan 07, 2021",151.2
"Jan 06, 2021",151.22
"Jan 05, 2021",151.3
"Jan 04, 2021",150.71
"Jan 01, 2021",149.57
"Dec 31, 2020",149.07
"Dec 30, 2020",149.27
"Dec 29, 2020",148.77
"Dec 28, 2020",147.78
"Dec 24, 2020",146.52
"Dec 23, 2020",145.12
"Dec 22, 2020",143.82
"Dec 21, 2020",142.5
"Dec 18, 2020",146.96
"Dec 17, 2020",146.56
"Dec 16, 2020",145.82
"Dec 15, 2020",144.61
"Dec 14, 2020",144.32
"Dec 11, 2020",143.93
"Dec 10, 2020",143.82
"Dec 09, 2020",144.41
"Dec 08, 2020",142.86
"Dec 07, 2020",142.29
"Dec 04, 2020",141.27
"Dec 03, 2020",140.12
"Dec 02, 2020",139.96
"Dec 01, 2020",139.79
"Nov 27, 2020",138.38
"Nov 26, 2020",138.24
"Nov 25, 2020",137.39
"Nov 24, 2020",139.38
"Nov 23, 2020",137.76
"Nov 20, 2020",137
"Nov 19, 2020",136.25
"Nov 18, 2020",137.9
"Nov 17, 2020",137.39
"Nov 13, 2020",135.79
"Nov 12, 2020",135.26
"Nov 11, 2020",135.83
"Nov 10, 2020",134.72
"Nov 09, 2020",132.73
"Nov 06, 2020",130.61
"Nov 05, 2020",129.12
"Nov 04, 2020",127.03
"Nov 03, 2020",126.01
"Nov 02, 2020",124.37
"Oct 30, 2020",124.57
"Oct 29, 2020",124.72
"Oct 28, 2020",125.4
"Oct 27, 2020",126.81
"Oct 26, 2020",125.81
"Oct 23, 2020",127.11
"Oct 22, 2020",126.7
"Oct 21, 2020",126.98
"Oct 20, 2020",126.77
"Oct 19, 2020",126.81
"Oct 16, 2020",125.62
"Oct 15, 2020",124.81
"Oct 14, 2020",127.42
"Oct 13, 2020",127.02
"Oct 12, 2020",126.96
"Oct 09, 2020",126.99
"Oct 08, 2020",125.91
"Oct 07, 2020",124.89
"Oct 06, 2020",124.03
"Oct 05, 2020",122.38
"Oct 01, 2020",121.61
"Sep 30, 2020",119.93
"Sep 29, 2020",119.82
"Sep 28, 2020",119.75
"Sep 25, 2020",117.87
"Sep 24, 2020",115.76
"Sep 23, 2020",118.95
"Sep 22, 2020",118.91
"Sep 21, 2020",119.92
"Sep 18, 2020",122.66
"Sep 17, 2020",122.72
"Sep 16, 2020",123.71
"Sep 15, 2020",122.9
"Sep 14, 2020",122.13
"Sep 11, 2020",122.13
"Sep 10, 2020",121.94
"Sep 09, 2020",120.34
"Sep 08, 2020",120.85
"Sep 07, 2020",121.27
"Sep 04, 2020",121.12
"Sep 03, 2020",122.73
"Sep 02, 2020",122.75
"Sep 01, 2020",122.15
"Aug 31, 2020",121.03
"Aug 28, 2020",124.04
"Aug 27, 2020",122.91
"Aug 26, 2020",122.75
"Aug 25, 2020",121.93
"Aug 24, 2020",122
"Aug 21, 2020",121.11
"Aug 20, 2020",120.42
"Aug 19, 2020",121.13
"Aug 18, 2020",120.97
"Aug 17, 2020",119.88
"Aug 14, 2020",119.26
"Aug 13, 2020",120.49
"Aug 12, 2020",120.33
"Aug 11, 2020",120.44
"Aug 10, 2020",119.97
"Aug 07, 2020",119.35
"Aug 06, 2020",119.02
"Aug 05, 2020",118.03
"Aug 04, 2020",118
"Aug 03, 2020",116.17
"Jul 31, 2020",118.02
"Jul 30, 2020",117.96
"Jul 29, 2020",119.26
"Jul 28, 2020",120.02
"Jul 27, 2020",118.39
"Jul 24, 2020",118.99
"Jul 23, 2020",119.08
"Jul 22, 2020",118.11
"Jul 21, 2020",118.54
"Jul 20, 2020",117.06
"Jul 17, 2020",115.81
"Jul 16, 2020",114.08
"Jul 15, 2020",112.97
"Jul 14, 2020",112.93
"Jul 13, 2020",114.86
"Jul 10, 2020",114.38
"Jul 09, 2020",115.07
"Jul 08, 2020",113.85
"Jul 07, 2020",114.65
"Jul 06, 2020",114.28
"Jul 03, 2020",112.51
"Jul 02, 2020",112.1
"Jul 01, 2020",111.04
"Jun 30, 2020",109.52
"Jun 29, 2020",109.74
"Jun 26, 2020",110.24
"Jun 25, 2020",109.05
"Jun 24, 2020",109.53
"Jun 23, 2020",111
"Jun 22, 2020",109.56
"Jun 19, 2020",108.79
"Jun 18, 2020",106.97
